Category: All categories

Month,bitcoin bubble: (Worldwide)
2011-05,0
2011-06,2
2011-07,1
2011-08,0
2011-09,1
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,5
2013-04,25
2013-05,2
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,22
2013-12,17
2014-01,6
2014-02,4
2014-03,3
2014-04,2
2014-05,1
2014-06,1
2014-07,2
2014-08,1
2014-09,1
2014-10,2
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,0
2015-08,1
2015-09,1
2015-10,1
2015-11,2
2015-12,1
2016-01,2
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,0
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,2
2017-02,2
2017-03,2
2017-04,1
2017-05,15
2017-06,16
2017-07,7
2017-08,23
2017-09,25
2017-10,23
2017-11,100
