Category: All categories

Month,btc usd: (Worldwide)
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,1
2013-04,2
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,4
2013-12,5
2014-01,3
2014-02,4
2014-03,3
2014-04,2
2014-05,2
2014-06,2
2014-07,4
2014-08,5
2014-09,5
2014-10,5
2014-11,5
2014-12,5
2015-01,7
2015-02,5
2015-03,5
2015-04,5
2015-05,5
2015-06,5
2015-07,6
2015-08,6
2015-09,5
2015-10,5
2015-11,8
2015-12,8
2016-01,8
2016-02,7
2016-03,7
2016-04,7
2016-05,8
2016-06,15
2016-07,9
2016-08,8
2016-09,8
2016-10,9
2016-11,12
2016-12,14
2017-01,19
2017-02,16
2017-03,20
2017-04,17
2017-05,40
2017-06,42
2017-07,32
2017-08,48
2017-09,48
2017-10,49
2017-11,100
